Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
металлургия,5844,1739,73,1,Новосибирская область,04.02.2024,04.02.2024 17:48
маркетинг,5831,465,180,0,Самарская область,14.04.2025,15.04.2025 02:32
химия,8228,1853,199,0,Московская область,21.02.2025,21.02.2025 18:37
машиностроение,4754,530,39,1,Ненецкий автономный округ,11.07.2023,12.07.2023 01:14
ресторанный бизнес,2308,1774,184,0,Новосибирская область,23.11.2025,24.11.2025 06:38
НКО,8574,1774,88,1,Ярославская область,25.11.2024,25.11.2024 12:23
образование,7060,281,183,1,Тульская область,03.03.2024,03.03.2024 22:38
добыча,2497,1361,161,1,Вологодская область,31.01.2023,31.01.2023 07:49
информационные технологии,8965,1976,205,0,Томская область,12.07.2023,12.07.2023 21:20
розничная торговля,4844,530,18,1,Амурская область,14.01.2025,14.01.2025 20:05
добыча,2936,1655,198,1,Республика Мордовия,27.08.2025,27.08.2025 11:48
консалтинг,2302,453,146,1,Республика Карелия,14.01.2025,14.01.2025 12:25
реклама,2114,1102,94,1,Ростовская область,20.06.2023,21.06.2023 00:26
безопасность,7375,738,225,0,Магаданская область,27.04.2023,28.04.2023 10:50
отели,9189,216,40,0,Удмуртская Республика,08.02.2025,08.02.2025 08:36
маркетинг,1196,656,100,1,Луганская Народная Республика,11.07.2023,11.07.2023 14:29
консалтинг,8768,1875,120,0,Ненецкий автономный округ,05.01.2024,06.01.2024 02:06
маркетинг,7097,608,103,1,Ленинградская область,11.10.2024,11.10.2024 13:38
логистика,3484,1638,190,1,Новгородская область,24.07.2024,24.07.2024 17:02
медицина,2552,1162,38,0,Пензенская область,06.03.2023,06.03.2023 22:49
маркетинг,1023,1855,93,1,Курганская область,13.03.2024,13.03.2024 06:13
металлургия,6930,752,65,0,Ненецкий автономный округ,18.10.2023,18.10.2023 05:17
маркетинг,1339,810,224,1,Республика Дагестан,10.12.2025,10.12.2025 09:42
автобизнес,3016,1900,14,0,Республика Карачаево-Черкесия,01.12.2024,01.12.2024 12:10
ресторанный бизнес,5723,1058,124,1,Республика Хакасия,26.11.2023,27.11.2023 05:27
системная интеграция,9345,996,211,0,Республика Бурятия,11.02.2024,11.02.2024 10:46
фармацевтика,2370,863,171,1,Санкт-Петербург,05.11.2023,05.11.2023 17:59
энергетика,8183,1970,82,0,Запорожская область,12.04.2025,12.04.2025 11:33
металлургия,7382,1904,220,0,Чукотский автономный округ,09.07.2025,10.07.2025 08:37
химия,0598,647,191,0,Республика Дагестан,07.12.2023,07.12.2023 22:24
ресторанный бизнес,5704,629,49,0,Ростовская область,15.01.2025,15.01.2025 03:19
информационные технологии,8227,1877,223,0,Томская область,22.07.2025,22.07.2025 20:26
системная интеграция,5771,1896,139,1,Алтайский край,18.11.2024,18.11.2024 10:59
розничная торговля,7518,1077,96,0,Иркутская область,30.11.2023,01.12.2023 01:27
маркетинг,4670,1930,169,1,Чукотский автономный округ,03.08.2024,04.08.2024 10:39
химия,1436,1850,215,0,Архангельская область,03.02.2023,03.02.2023 22:59
реклама,1699,1216,192,0,Чукотский автономный округ,28.06.2025,29.06.2025 04:37
машиностроение,4750,1944,108,0,Воронежская область,20.07.2025,20.07.2025 20:24
химия,3205,1953,121,0,Волгоградская область,08.08.2025,08.08.2025 16:58
НКО,6485,215,96,0,Новосибирская область,03.08.2024,03.08.2024 15:56
автобизнес,5037,1917,204,1,Запорожская область,09.05.2024,09.05.2024 03:57
реклама,0536,231,7,0,Ростовская область,28.11.2025,29.11.2025 02:38
телекоммуникации,5491,549,147,1,Тульская область,12.03.2025,12.03.2025 09:39
НКО,6445,1896,14,1,Ярославская область,10.03.2025,11.03.2025 02:11
маркетинг,5213,1259,41,1,Рязанская область,23.07.2023,24.07.2023 01:51
энергетика,8262,442,162,1,Камчатский край,16.06.2024,17.06.2024 05:10
телекоммуникации,3339,390,24,0,Ямало-Ненецкий автономный округ,24.01.2023,25.01.2023 01:49
фармацевтика,2508,256,159,0,Амурская область,22.02.2025,22.02.2025 09:47
энергетика,7434,1499,162,1,Орловская область,05.05.2024,05.05.2024 23:57
отели,4865,596,138,0,Ставропольский край,17.06.2024,18.06.2024 00:03
автобизнес,1360,494,161,0,Чукотский автономный округ,31.07.2023,31.07.2023 15:29
образование,2011,419,37,1,Республика Мордовия,05.01.2024,05.01.2024 05:04
логистика,5922,1916,54,1,Вологодская область,02.10.2025,02.10.2025 03:26
добыча,7972,1481,20,0,Херсонская область,09.05.2025,09.05.2025 15:56
телекоммуникации,7388,1855,42,0,Пермский край,21.01.2023,21.01.2023 10:42
фармацевтика,9940,1950,9,0,Саратовская область,11.12.2024,11.12.2024 18:39
образование,8954,210,41,1,Тверская область,30.01.2024,30.01.2024 22:01
медицина,0378,1260,132,0,Тамбовская область,17.01.2025,17.01.2025 06:57
ресторанный бизнес,0484,870,36,0,Ненецкий автономный округ,17.09.2023,17.09.2023 11:17
логистика,3265,388,90,1,Челябинская область,12.10.2025,12.10.2025 18:32
маркетинг,3164,712,45,0,Херсонская область,29.07.2024,29.07.2024 15:06
фармацевтика,9627,838,43,0,Омская область,06.06.2025,06.06.2025 20:27
образование,4452,1870,82,0,Приморский край,23.02.2025,23.02.2025 23:12
фармацевтика,5783,965,162,0,Тюменская область,09.12.2023,09.12.2023 06:32
автобизнес,9616,1039,76,1,Республика Северная Осетия-Алания,03.03.2023,03.03.2023 06:11
телекоммуникации,7036,1819,48,1,Республика Марий,29.05.2023,29.05.2023 09:42
системная интеграция,6095,497,200,1,Тверская область,20.01.2023,20.01.2023 13:44
металлургия,5389,637,120,1,Рязанская область,16.05.2023,16.05.2023 15:18
образование,3477,1279,56,0,Республика Бурятия,23.07.2024,24.07.2024 06:38
добыча,9404,1523,108,1,Пензенская область,17.10.2024,17.10.2024 09:12
машиностроение,8093,1221,12,1,Республика Дагестан,02.09.2023,02.09.2023 06:28
розничная торговля,9854,869,152,1,Тульская область,13.02.2023,13.02.2023 12:01
НКО,9434,209,119,1,Ярославская область,04.04.2025,04.04.2025 04:57
медицина,8643,280,87,0,Ленинградская область,20.08.2025,20.08.2025 06:53
реклама,4932,762,82,1,Республика Ингушетия,13.06.2023,13.06.2023 20:49
телекоммуникации,8091,1454,13,1,Пермский край,19.07.2025,19.07.2025 20:54
НКО,1990,1926,96,0,Московская область,03.04.2024,03.04.2024 04:52
металлургия,2274,415,83,1,Воронежская область,15.12.2023,15.12.2023 05:12
системная интеграция,8808,210,177,0,Республика Мордовия,30.03.2023,30.03.2023 06:03
информационные технологии,1230,740,85,1,Нижегородская область,15.12.2023,15.12.2023 07:37
консалтинг,1965,458,82,0,Республика Саха (Якутия),26.04.2025,27.04.2025 05:28
химия,8549,1280,62,1,Донецкая Народная Республика,30.09.2025,30.09.2025 11:20
логистика,3701,388,68,1,Ненецкий автономный округ,23.12.2024,23.12.2024 20:53
отели,3374,1623,20,0,Томская область,04.05.2023,04.05.2023 13:00
ресторанный бизнес,7671,1876,99,0,Омская область,03.08.2023,03.08.2023 16:13
фармацевтика,8645,1252,220,1,Республика Башкортостан,18.07.2025,19.07.2025 01:09
безопасность,1732,466,57,1,Кабардино-Балкарская Республика,15.07.2025,15.07.2025 22:32
ресторанный бизнес,6557,584,18,1,Республика Карачаево-Черкесия,03.12.2023,04.12.2023 00:19
фармацевтика,1673,501,119,0,Новгородская область,07.05.2024,07.05.2024 03:57
